#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__Copromyxa	1	0	1	0	0	1	1	0	1	0	3	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__BOLA868	1	0	3	6	2	1	0	2	0	0	2	0	7	3	1	0	0	0	0	12	6	48	7	31	5	18	11	16	1	11	4	0	63	14	35	0	15	0	18	0	0	0	0	0	0	0	0	0	1	0	0	6	2	5	8	15	27	20	17	3	1	3	1	0	0	1	0	0	0	1	0	1	1	1	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__Phryganellina;genus__Cryptodifflugia	11	51	2	13	24	10	46	6	42	21	6	39	1	4	29	2	3	0	1	7	9	9	7	11	6	22	16	13	14	13	0	2	15	32	26	0	21	1	23	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	7	6
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__Arcellina;genus__Arcella	3	159	1	0	5	1	140	0	78	6	1	102	0	0	2	7	47	133	160	320	184	3	0	0	237	0	0	0	456	213	0	53	0	0	0	30	0	25	0	150	178	249	446	627	1006	913	713	1014	1344	600	105	0	2	0	0	9	2	0	1	0	0	0	0	1	0	0	21	62	1	0	0	0	0	13	2
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida;family__unknown;genus__unknown	0	0	2	1	1	6	0	2	2	8	5	0	2	6	6	0	0	0	0	0	0	0	1	3	0	1	1	2	0	1	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida;family__unknown;genus__Vermamoeba	0	1	0	0	1	2	0	3	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	3	0	0	0	2	0	4	0	1	4	9	0	5	12	21	4	5	3
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae;order__unknown;family__unknown;genus__unknown	8	2	3	4	7	8	1	4	2	13	11	1	2	4	2	0	0	0	0	92	99	30	70	96	195	95	111	182	124	167	32	15	218	120	136	9	122	8	131	2	0	1	0	5	1	3	0	0	2	0	0	120	27	24	35	25	40	58	24	35	24	29	6	0	0	0	0	3	0	8	5	6	3	0	4
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae;order__Chattonellales;family__unknown;genus__Psammamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae;order__Chattonellales;family__unknown;genus__Fibrocapsa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae;order__Chattonellales;family__unknown;genus__Chloromorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
