sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
C171,0.064785308911699993,1.08344284088e-4,1.28940983928e-4,0.116800694364,0.090492139794,0,0.00422674835119,0.00494164428423,0,0,0,0,0.00146706186158,0.0224621483806,0,0.133121386354,0.112008831307,1.36916369505,0.00329044333669,0,0.00714625494428,0,0,0.0476371392599,9.34919520926e-4,0,0,0,0.00183836650352,0.00355304044601,0,0,0,0,0.120743051897,0.0101476098729,0,0.0190063423937,0.00100002307929,0.0439557182761
C172,0.0552417537348,2.83111602119e-4,0,0.156395826797,0.0919293173302,0,0.00412044592893,0.00379790613019,0,0,0,0,0,0.0261919662926,0,0.0263395127457,0.0684963540892,2.28972095943,0,0,0.0100037630543,0,0,0.0518001069011,0,0,0,0,0.0027238316246,0.00359394450468,0,0,0,0,0.114627914202,0.0164584879083,2.40486992878e-4,0.030368391707000002,7.64819717252e-4,0.0428627491846
C173,0.0403264802519,1.0561577463e-4,1.67591697938e-4,0.157352029361,0.0224469210269,8.00437960301e-5,0.00825066820618,0.00604510797728,0,0,0,0,0.00149396027876,0.0262129765985,0,0.0171237552419,0.0445906899682,1.50952488517,5.09139335508e-4,4.71351650451e-5,0.00721508175865,3.23393025167e-4,2.45630580184e-5,0.0141557675212,0,0,0,0,0.00301453361512,1.98627197556e-4,0,0,0,0.00111795307869,0.0435470267922,0.00227403576001,0,0.0251167994464,0.0076104711296,0.0313694926113
C174,0.0499174408031,5.78890512596e-4,9.84200015835e-5,0.11223829721,0.0489770065023,0,0.00633900035677,0.00830811191449,0.00398663297553,0,0,0,0.00226578420912,0.0209552986786,0,0.0234796964351,0.0763622853666,0.576467404154,0,1.23025001979e-4,0.00497849630003,4.89912896771e-4,9.61661084175e-5,0.0180684138547,0.00178880582939,0,0,0,0.00868914725197,2.52732843572e-4,0,0,0,0,0.0424964444171,0.00756755913236,1.17079555787e-4,0.0645596708676,0.011813667244,0.0388859434828
C175,0.074184396685,1.50594462175e-4,2.50912335675e-4,0.138399620507,0.0335357824554,0,0.0029320474458,0.00958587535478,0,0,0,0,9.90239844803e-4,0.0299793905405,0,0.0152658975347,0.110366457337,1.7834471508,0.00174232073959,1.34417322683e-5,0.00624361535136,1.38335013495e-4,2.73185251841e-4,0.0149973363259,0.00237029313909,0,0,0,0.0100262305465,6.37237677906e-5,0,0,0,0,0.0692804803419,0.00548541717719,2.55842636483e-5,0.0338892033733,0.0151921693036,0.0324938840032
C176,0.0677446565755,1.11904976108e-4,1.33178578337e-4,0.144289476873,0.0309303815751,0,0.00426171450679,0.011559170854,0,0,0,0,0.00113645720181,0.0303101451264,0,0.00829597795845,0.0713478046643,0.939748765765,0.00329069094828,1.24854917191e-5,0.00575551134423,1.92740857091e-4,0,0.0109181817124,0,0.00156434535521,0,0,0.00277235743705,1.57841278029e-4,0,0,0,0,0.111253178704,0.00122661893553,7.12926218608e-5,0.0324374165299,0.0127320931323,0.0363121427839
C177,0.0450533506089,1.74256434893e-4,3.62920791162e-4,0.133089947905,0.0197035523496,0,0.00472195842566,0.0100323197736,0,0,0,0,2.14843140503e-4,0.0276780845887,0,0.0190828868655,0.0709554405354,1.0418937456,7.77031133337e-4,4.8605463102e-5,0.00444698230113,0,0,0.013450398437,0.00111272736315,0,0,0,0.00213757617266,4.608517983e-5,0,0,0,0,0.0991073919924,0.00117542716969,0,0.0295711359281,0.0125978906523,0.0379892364019
C178,0.0334745540381,3.65188450615e-4,8.69224593391e-4,0.128038162328,0.0213472798194,0,2.37736640927e-4,0.00878183333492,0,0,0,0,0,0.0162368327299,0,0.0181438145011,0.0473762737731,0.906040753756,0,0,0.0029312682737,2.79549617975e-4,0,0.0131194117789,0,0,0,0,0.00226425381801,2.8616447519e-5,0,0,7.56304177935e-4,0,0.125249672404,6.15834398269e-4,0,0.0267950701063,0.00511676330494,0.0333025368026
C179,0.0931451763627,2.97786704736e-4,6.86644571288e-4,0.0906431047217,0.0696280508898,0,0.00184196250724,0.00449411711074,0,0,0,0,6.39513740904e-4,0.0157456081959,0,0.00709745798043,0.0501209717121,0.880911258225,0.0283697200087,1.66123686602e-5,0.0038727941234,5.37706093645e-4,0,0.0113354697147,0,0,0,0,0.00194876168111,3.01893909479e-4,0,0,0.00145185075711,0,0.0405430394608,0.00204373225185,0,0.0317345794197,0.00797614274859,0.029292013311
C180,0.0500461347533,1.65778767342e-4,0.00109920943837,0.104236906383,0.0452699348114,0,0.00193021392803,0.00374886181479,0,0,0,0,9.83907749029e-4,0.0165776456836,0,0.0101635201889,0.046479980416,0.586482215711,0.007466489817,0,0.00334731502247,3.26321162995e-4,9.91418495205e-5,0.0127743413141,0,0,0,0,0.00405577131074,1.50319239435e-4,0,0,0.00223980208125,0,0.0165952440336,0.00340369500459,4.02341458711e-5,0.0287113422608,0.0150668528954,0.0340150964664
